id,skill_set,subcategory
50,"('adobe-illustrator', 'adobe-photoshop', 'photography')","Video Production
"
51,"('adobe-illustrator', 'adobe-photoshop', 'photography')","Voice Over
"
52,"('adobe-illustrator', 'adobe-photoshop', 'photography')","Video Editing
"
53,"('adobe-illustrator', 'adobe-photoshop', 'photography')","Subtitle
"
54,"('adobe-illustrator', 'adobe-photoshop', 'photography')","3D & Animation
"
55,"('adobe-illustrator', 'adobe-photoshop', 'photography')",Sound Effects
56,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","Photography
"
57,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","Motion Graphics
"
58,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","Video Production
"
59,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","Voice Over
"
60,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","Video Editing
"
61,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","Subtitle
"
62,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')","3D & Animation
"
63,"('adobe-illustrator', 'adobe-photoshop', 'cinematography')",Sound Effects
64,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","Photography
"
65,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","Motion Graphics
"
66,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","Video Production
"
67,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","Voice Over
"
68,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","Video Editing
"
69,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","Subtitle
"
70,"('adobe-illustrator', 'adobe-photoshop', 'web-design')","3D & Animation
"
71,"('adobe-illustrator', 'adobe-photoshop', 'web-design')",Sound Effects
72,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","Photography
"
73,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","Motion Graphics
"
74,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","Video Production
"
75,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","Voice Over
"
76,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","Video Editing
"
77,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","Subtitle
"
78,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')","3D & Animation
"
79,"('adobe-illustrator', 'adobe-photoshop', 'concept-development')",Sound Effects
80,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","Photography
"
81,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","Motion Graphics
"
82,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","Video Production
"
83,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","Voice Over
"
84,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","Video Editing
"
85,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","Subtitle
"
86,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')","3D & Animation
"
87,"('adobe-illustrator', 'adobe-photoshop', '3d-modeling')",Sound Effects
88,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","Photography
"
89,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","Motion Graphics
"
90,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","Video Production
"
91,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","Voice Over
"
92,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","Video Editing
"
93,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","Subtitle
"
94,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')","3D & Animation
"
95,"('adobe-illustrator', 'adobe-photoshop', 'fl-studio')",Sound Effects
96,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","Photography
"
97,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","Motion Graphics
"
98,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","Video Production
"
99,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","Voice Over
"
100,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","Video Editing
"
101,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","Subtitle
"
102,"('adobe-illustrator', 'adobe-photoshop', 'ableton')","3D & Animation
"
103,"('adobe-illustrator', 'adobe-photoshop', 'ableton')",Sound Effects
104,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","Photography
"
105,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","Motion Graphics
"
106,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","Video Production
"
107,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","Voice Over
"
108,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","Video Editing
"
109,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","Subtitle
"
110,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')","3D & Animation
"
111,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-photoshop')",Sound Effects
112,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","Photography
"
113,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","Motion Graphics
"
114,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","Video Production
"
115,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","Voice Over
"
116,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","Video Editing
"
117,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","Subtitle
"
118,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')","3D & Animation
"
119,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-after-effect')",Sound Effects
120,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","Photography
"
121,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","Motion Graphics
"
122,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","Video Production
"
123,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","Voice Over
"
124,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","Video Editing
"
125,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","Subtitle
"
126,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')","3D & Animation
"
127,"('adobe-illustrator', 'adobe-premiere-pro', 'final-cut-pro')",Sound Effects
128,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","Photography
"
129,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","Motion Graphics
"
130,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","Video Production
"
131,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","Voice Over
"
132,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","Video Editing
"
133,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","Subtitle
"
134,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')","3D & Animation
"
135,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-muse')",Sound Effects
136,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","Photography
"
137,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","Motion Graphics
"
138,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","Video Production
"
139,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","Voice Over
"
140,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","Video Editing
"
141,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","Subtitle
"
142,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')","3D & Animation
"
143,"('adobe-illustrator', 'adobe-premiere-pro', 'digital-marketing')",Sound Effects
144,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","Photography
"
145,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","Motion Graphics
"
146,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","Video Production
"
147,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","Voice Over
"
148,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","Video Editing
"
149,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","Subtitle
"
150,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')","3D & Animation
"
151,"('adobe-illustrator', 'adobe-premiere-pro', 'adobe-lightroom')",Sound Effects
152,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","Photography
"
153,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","Motion Graphics
"
154,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","Video Production
"
155,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","Voice Over
"
156,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","Video Editing
"
157,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","Subtitle
"
158,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')","3D & Animation
"
159,"('adobe-illustrator', 'adobe-premiere-pro', 'photography')",Sound Effects
160,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","Photography
"
161,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","Motion Graphics
"
162,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","Video Production
"
163,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","Voice Over
"
164,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","Video Editing
"
165,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","Subtitle
"
166,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')","3D & Animation
"
167,"('adobe-illustrator', 'adobe-premiere-pro', 'cinematography')",Sound Effects
168,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","Photography
"
169,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","Motion Graphics
"
170,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","Video Production
"
171,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","Voice Over
"
172,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","Video Editing
"
173,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","Subtitle
"
174,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')","3D & Animation
"
175,"('adobe-illustrator', 'adobe-premiere-pro', 'web-design')",Sound Effects
176,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","Photography
"
177,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","Motion Graphics
"
178,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","Video Production
"
179,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","Voice Over
"
180,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","Video Editing
"
181,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","Subtitle
"
182,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')","3D & Animation
"
183,"('adobe-illustrator', 'adobe-premiere-pro', 'concept-development')",Sound Effects
184,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","Photography
"
185,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","Motion Graphics
"
186,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","Video Production
"
187,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","Voice Over
"
188,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","Video Editing
"
189,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","Subtitle
"
190,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')","3D & Animation
"
191,"('adobe-illustrator', 'adobe-premiere-pro', '3d-modeling')",Sound Effects
192,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","Photography
"
193,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","Motion Graphics
"
194,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","Video Production
"
195,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","Voice Over
"
196,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","Video Editing
"
197,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","Subtitle
"
198,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')","3D & Animation
"
199,"('adobe-illustrator', 'adobe-premiere-pro', 'fl-studio')",Sound Effects
200,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","Photography
"
201,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","Motion Graphics
"
202,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","Video Production
"
203,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","Voice Over
"
204,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","Video Editing
"
205,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","Subtitle
"
206,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')","3D & Animation
"
207,"('adobe-illustrator', 'adobe-premiere-pro', 'ableton')",Sound Effects
208,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","Photography
"
209,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","Motion Graphics
"
210,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","Video Production
"
211,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","Voice Over
"
212,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","Video Editing
"
213,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","Subtitle
"
214,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')","3D & Animation
"
215,"('adobe-illustrator', 'adobe-after-effect', 'adobe-photoshop')",Sound Effects
216,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","Photography
"
217,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","Motion Graphics
"
218,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","Video Production
"
219,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","Voice Over
"
220,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","Video Editing
"
221,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","Subtitle
"
222,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')","3D & Animation
"
223,"('adobe-illustrator', 'adobe-after-effect', 'adobe-premiere-pro')",Sound Effects
224,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","Photography
"
225,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","Motion Graphics
"
226,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","Video Production
"
227,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","Voice Over
"
228,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","Video Editing
"
229,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","Subtitle
"
230,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')","3D & Animation
"
231,"('adobe-illustrator', 'adobe-after-effect', 'final-cut-pro')",Sound Effects
232,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","Photography
"
233,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","Motion Graphics
"
234,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","Video Production
"
235,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","Voice Over
"
236,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","Video Editing
"
237,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","Subtitle
"
238,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')","3D & Animation
"
239,"('adobe-illustrator', 'adobe-after-effect', 'adobe-muse')",Sound Effects
240,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","Photography
"
241,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","Motion Graphics
"
242,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","Video Production
"
243,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","Voice Over
"
244,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","Video Editing
"
245,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","Subtitle
"
246,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')","3D & Animation
"
247,"('adobe-illustrator', 'adobe-after-effect', 'digital-marketing')",Sound Effects
248,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","Photography
"
249,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","Motion Graphics
"
250,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","Video Production
"
251,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","Voice Over
"
252,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","Video Editing
"
253,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","Subtitle
"
254,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')","3D & Animation
"
255,"('adobe-illustrator', 'adobe-after-effect', 'adobe-lightroom')",Sound Effects
256,"('adobe-illustrator', 'adobe-after-effect', 'photography')","Photography
"
257,"('adobe-illustrator', 'adobe-after-effect', 'photography')","Motion Graphics
"
258,"('adobe-illustrator', 'adobe-after-effect', 'photography')","Video Production
"
259,"('adobe-illustrator', 'adobe-after-effect', 'photography')","Voice Over
"
260,"('adobe-illustrator', 'adobe-after-effect', 'photography')","Video Editing
"
261,"('adobe-illustrator', 'adobe-after-effect', 'photography')","Subtitle
"
262,"('adobe-illustrator', 'adobe-after-effect', 'photography')","3D & Animation
"
263,"('adobe-illustrator', 'adobe-after-effect', 'photography')",Sound Effects
264,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","Photography
"
265,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","Motion Graphics
"
266,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","Video Production
"
267,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","Voice Over
"
268,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","Video Editing
"
269,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","Subtitle
"
270,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')","3D & Animation
"
271,"('adobe-illustrator', 'adobe-after-effect', 'cinematography')",Sound Effects
272,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","Photography
"
273,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","Motion Graphics
"
274,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","Video Production
"
275,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","Voice Over
"
276,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","Video Editing
"
277,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","Subtitle
"
278,"('adobe-illustrator', 'adobe-after-effect', 'web-design')","3D & Animation
"
279,"('adobe-illustrator', 'adobe-after-effect', 'web-design')",Sound Effects
280,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","Photography
"
281,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","Motion Graphics
"
282,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","Video Production
"
283,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","Voice Over
"
284,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","Video Editing
"
285,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","Subtitle
"
286,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')","3D & Animation
"
287,"('adobe-illustrator', 'adobe-after-effect', 'concept-development')",Sound Effects
288,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","Photography
"
289,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","Motion Graphics
"
290,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","Video Production
"
291,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","Voice Over
"
292,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","Video Editing
"
293,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","Subtitle
"
294,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')","3D & Animation
"
295,"('adobe-illustrator', 'adobe-after-effect', '3d-modeling')",Sound Effects
296,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","Photography
"
297,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","Motion Graphics
"
298,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","Video Production
"
299,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","Voice Over
"
300,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","Video Editing
"
301,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","Subtitle
"
302,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')","3D & Animation
"
303,"('adobe-illustrator', 'adobe-after-effect', 'fl-studio')",Sound Effects
304,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","Photography
"
305,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","Motion Graphics
"
306,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","Video Production
"
307,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","Voice Over
"
308,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","Video Editing
"
309,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","Subtitle
"
310,"('adobe-illustrator', 'adobe-after-effect', 'ableton')","3D & Animation
"
311,"('adobe-illustrator', 'adobe-after-effect', 'ableton')",Sound Effects
312,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","Photography
"
313,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","Motion Graphics
"
314,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","Video Production
"
315,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","Voice Over
"
316,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","Video Editing
"
317,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","Subtitle
"
318,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')","3D & Animation
"
319,"('adobe-illustrator', 'final-cut-pro', 'adobe-photoshop')",Sound Effects
320,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","Photography
"
321,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","Motion Graphics
"
322,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","Video Production
"
323,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","Voice Over
"
324,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","Video Editing
"
325,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","Subtitle
"
326,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')","3D & Animation
"
327,"('adobe-illustrator', 'final-cut-pro', 'adobe-premiere-pro')",Sound Effects
328,"('adobe-illustrator', 'final-cut-pro', 'adobe-after-effect')","Photography
"
329,"('adobe-illustrator', 'final-cut-pro', 'adobe-after-effect')","Motion Graphics
"
330,"('adobe-illustrator', 'final-cut-pro', 'adobe-after-effect')","Video Production
"
331,"('adobe-illustrator', 'final-cut-pro', 'adobe-after-effect')","Voice Over
"
