id,skill_set,subcategory
274,"('consulting', 'business-valuation', 'financial-modeling')","Create Business & Startup
"
275,"('consulting', 'business-valuation', 'financial-modeling')","Finance & Accounting
"
276,"('consulting', 'business-valuation', 'financial-modeling')","Company’s Trade Registration 
"
277,"('consulting', 'business-valuation', 'financial-modeling')","Marketing
"
278,"('consulting', 'business-valuation', 'financial-modeling')","Branding
"
279,"('consulting', 'business-valuation', 'financial-modeling')",Law
280,"('consulting', 'business-valuation', 'valuation')","Self Improvement
"
281,"('consulting', 'business-valuation', 'valuation')","Create Business & Startup
"
282,"('consulting', 'business-valuation', 'valuation')","Finance & Accounting
"
283,"('consulting', 'business-valuation', 'valuation')","Company’s Trade Registration 
"
284,"('consulting', 'business-valuation', 'valuation')","Marketing
"
285,"('consulting', 'business-valuation', 'valuation')","Branding
"
286,"('consulting', 'business-valuation', 'valuation')",Law
287,"('consulting', 'business-valuation', 'investment-banking')","Self Improvement
"
288,"('consulting', 'business-valuation', 'investment-banking')","Create Business & Startup
"
289,"('consulting', 'business-valuation', 'investment-banking')","Finance & Accounting
"
290,"('consulting', 'business-valuation', 'investment-banking')","Company’s Trade Registration 
"
291,"('consulting', 'business-valuation', 'investment-banking')","Marketing
"
292,"('consulting', 'business-valuation', 'investment-banking')","Branding
"
293,"('consulting', 'business-valuation', 'investment-banking')",Law
294,"('advising', 'consulting', 'career-growth')","Self Improvement
"
295,"('advising', 'consulting', 'career-growth')","Create Business & Startup
"
296,"('advising', 'consulting', 'career-growth')","Finance & Accounting
"
297,"('advising', 'consulting', 'career-growth')","Company’s Trade Registration 
"
298,"('advising', 'consulting', 'career-growth')","Marketing
"
299,"('advising', 'consulting', 'career-growth')","Branding
"
300,"('advising', 'consulting', 'career-growth')",Law
301,"('advising', 'consulting', 'startup')","Self Improvement
"
302,"('advising', 'consulting', 'startup')","Create Business & Startup
"
303,"('advising', 'consulting', 'startup')","Finance & Accounting
"
304,"('advising', 'consulting', 'startup')","Company’s Trade Registration 
"
305,"('advising', 'consulting', 'startup')","Marketing
"
306,"('advising', 'consulting', 'startup')","Branding
"
307,"('advising', 'consulting', 'startup')",Law
308,"('advising', 'consulting', 'financial-modeling')","Self Improvement
"
309,"('advising', 'consulting', 'financial-modeling')","Create Business & Startup
"
310,"('advising', 'consulting', 'financial-modeling')","Finance & Accounting
"
311,"('advising', 'consulting', 'financial-modeling')","Company’s Trade Registration 
"
312,"('advising', 'consulting', 'financial-modeling')","Marketing
"
313,"('advising', 'consulting', 'financial-modeling')","Branding
"
314,"('advising', 'consulting', 'financial-modeling')",Law
315,"('advising', 'consulting', 'valuation')","Self Improvement
"
316,"('advising', 'consulting', 'valuation')","Create Business & Startup
"
317,"('advising', 'consulting', 'valuation')","Finance & Accounting
"
318,"('advising', 'consulting', 'valuation')","Company’s Trade Registration 
"
319,"('advising', 'consulting', 'valuation')","Marketing
"
320,"('advising', 'consulting', 'valuation')","Branding
"
321,"('advising', 'consulting', 'valuation')",Law
322,"('advising', 'consulting', 'investment-banking')","Self Improvement
"
323,"('advising', 'consulting', 'investment-banking')","Create Business & Startup
"
324,"('advising', 'consulting', 'investment-banking')","Finance & Accounting
"
325,"('advising', 'consulting', 'investment-banking')","Company’s Trade Registration 
"
326,"('advising', 'consulting', 'investment-banking')","Marketing
"
327,"('advising', 'consulting', 'investment-banking')","Branding
"
328,"('advising', 'consulting', 'investment-banking')",Law
329,"('advising', 'consulting', 'business-valuation')","Self Improvement
"
330,"('advising', 'consulting', 'business-valuation')","Create Business & Startup
"
331,"('advising', 'consulting', 'business-valuation')","Finance & Accounting
"
332,"('advising', 'consulting', 'business-valuation')","Company’s Trade Registration 
"
333,"('advising', 'consulting', 'business-valuation')","Marketing
"
334,"('advising', 'consulting', 'business-valuation')","Branding
"
335,"('advising', 'consulting', 'business-valuation')",Law
336,"('advising', 'career-growth', 'consulting')","Self Improvement
"
337,"('advising', 'career-growth', 'consulting')","Create Business & Startup
"
338,"('advising', 'career-growth', 'consulting')","Finance & Accounting
"
339,"('advising', 'career-growth', 'consulting')","Company’s Trade Registration 
"
340,"('advising', 'career-growth', 'consulting')","Marketing
"
341,"('advising', 'career-growth', 'consulting')","Branding
"
342,"('advising', 'career-growth', 'consulting')",Law
343,"('advising', 'career-growth', 'startup')","Self Improvement
"
344,"('advising', 'career-growth', 'startup')","Create Business & Startup
"
345,"('advising', 'career-growth', 'startup')","Finance & Accounting
"
346,"('advising', 'career-growth', 'startup')","Company’s Trade Registration 
"
347,"('advising', 'career-growth', 'startup')","Marketing
"
348,"('advising', 'career-growth', 'startup')","Branding
"
349,"('advising', 'career-growth', 'startup')",Law
350,"('advising', 'career-growth', 'financial-modeling')","Self Improvement
"
351,"('advising', 'career-growth', 'financial-modeling')","Create Business & Startup
"
352,"('advising', 'career-growth', 'financial-modeling')","Finance & Accounting
"
353,"('advising', 'career-growth', 'financial-modeling')","Company’s Trade Registration 
"
354,"('advising', 'career-growth', 'financial-modeling')","Marketing
"
355,"('advising', 'career-growth', 'financial-modeling')","Branding
"
356,"('advising', 'career-growth', 'financial-modeling')",Law
357,"('advising', 'career-growth', 'valuation')","Self Improvement
"
358,"('advising', 'career-growth', 'valuation')","Create Business & Startup
"
359,"('advising', 'career-growth', 'valuation')","Finance & Accounting
"
360,"('advising', 'career-growth', 'valuation')","Company’s Trade Registration 
"
361,"('advising', 'career-growth', 'valuation')","Marketing
"
362,"('advising', 'career-growth', 'valuation')","Branding
"
363,"('advising', 'career-growth', 'valuation')",Law
364,"('advising', 'career-growth', 'investment-banking')","Self Improvement
"
365,"('advising', 'career-growth', 'investment-banking')","Create Business & Startup
"
366,"('advising', 'career-growth', 'investment-banking')","Finance & Accounting
"
367,"('advising', 'career-growth', 'investment-banking')","Company’s Trade Registration 
"
368,"('advising', 'career-growth', 'investment-banking')","Marketing
"
369,"('advising', 'career-growth', 'investment-banking')","Branding
"
370,"('advising', 'career-growth', 'investment-banking')",Law
371,"('advising', 'career-growth', 'business-valuation')","Self Improvement
"
372,"('advising', 'career-growth', 'business-valuation')","Create Business & Startup
"
373,"('advising', 'career-growth', 'business-valuation')","Finance & Accounting
"
374,"('advising', 'career-growth', 'business-valuation')","Company’s Trade Registration 
"
375,"('advising', 'career-growth', 'business-valuation')","Marketing
"
376,"('advising', 'career-growth', 'business-valuation')","Branding
"
377,"('advising', 'career-growth', 'business-valuation')",Law
378,"('advising', 'startup', 'consulting')","Self Improvement
"
379,"('advising', 'startup', 'consulting')","Create Business & Startup
"
380,"('advising', 'startup', 'consulting')","Finance & Accounting
"
381,"('advising', 'startup', 'consulting')","Company’s Trade Registration 
"
382,"('advising', 'startup', 'consulting')","Marketing
"
383,"('advising', 'startup', 'consulting')","Branding
"
384,"('advising', 'startup', 'consulting')",Law
385,"('advising', 'startup', 'career-growth')","Self Improvement
"
386,"('advising', 'startup', 'career-growth')","Create Business & Startup
"
387,"('advising', 'startup', 'career-growth')","Finance & Accounting
"
388,"('advising', 'startup', 'career-growth')","Company’s Trade Registration 
"
389,"('advising', 'startup', 'career-growth')","Marketing
"
390,"('advising', 'startup', 'career-growth')","Branding
"
391,"('advising', 'startup', 'career-growth')",Law
392,"('advising', 'startup', 'financial-modeling')","Self Improvement
"
393,"('advising', 'startup', 'financial-modeling')","Create Business & Startup
"
394,"('advising', 'startup', 'financial-modeling')","Finance & Accounting
"
395,"('advising', 'startup', 'financial-modeling')","Company’s Trade Registration 
"
396,"('advising', 'startup', 'financial-modeling')","Marketing
"
397,"('advising', 'startup', 'financial-modeling')","Branding
"
398,"('advising', 'startup', 'financial-modeling')",Law
399,"('advising', 'startup', 'valuation')","Self Improvement
"
400,"('advising', 'startup', 'valuation')","Create Business & Startup
"
401,"('advising', 'startup', 'valuation')","Finance & Accounting
"
402,"('advising', 'startup', 'valuation')","Company’s Trade Registration 
"
403,"('advising', 'startup', 'valuation')","Marketing
"
404,"('advising', 'startup', 'valuation')","Branding
"
405,"('advising', 'startup', 'valuation')",Law
406,"('advising', 'startup', 'investment-banking')","Self Improvement
"
407,"('advising', 'startup', 'investment-banking')","Create Business & Startup
"
408,"('advising', 'startup', 'investment-banking')","Finance & Accounting
"
409,"('advising', 'startup', 'investment-banking')","Company’s Trade Registration 
"
410,"('advising', 'startup', 'investment-banking')","Marketing
"
411,"('advising', 'startup', 'investment-banking')","Branding
"
412,"('advising', 'startup', 'investment-banking')",Law
413,"('advising', 'startup', 'business-valuation')","Self Improvement
"
414,"('advising', 'startup', 'business-valuation')","Create Business & Startup
"
415,"('advising', 'startup', 'business-valuation')","Finance & Accounting
"
416,"('advising', 'startup', 'business-valuation')","Company’s Trade Registration 
"
417,"('advising', 'startup', 'business-valuation')","Marketing
"
418,"('advising', 'startup', 'business-valuation')","Branding
"
419,"('advising', 'startup', 'business-valuation')",Law
420,"('advising', 'financial-modeling', 'consulting')","Self Improvement
"
421,"('advising', 'financial-modeling', 'consulting')","Create Business & Startup
"
422,"('advising', 'financial-modeling', 'consulting')","Finance & Accounting
"
423,"('advising', 'financial-modeling', 'consulting')","Company’s Trade Registration 
"
424,"('advising', 'financial-modeling', 'consulting')","Marketing
"
425,"('advising', 'financial-modeling', 'consulting')","Branding
"
426,"('advising', 'financial-modeling', 'consulting')",Law
427,"('advising', 'financial-modeling', 'career-growth')","Self Improvement
"
428,"('advising', 'financial-modeling', 'career-growth')","Create Business & Startup
"
429,"('advising', 'financial-modeling', 'career-growth')","Finance & Accounting
"
430,"('advising', 'financial-modeling', 'career-growth')","Company’s Trade Registration 
"
431,"('advising', 'financial-modeling', 'career-growth')","Marketing
"
432,"('advising', 'financial-modeling', 'career-growth')","Branding
"
433,"('advising', 'financial-modeling', 'career-growth')",Law
434,"('advising', 'financial-modeling', 'startup')","Self Improvement
"
435,"('advising', 'financial-modeling', 'startup')","Create Business & Startup
"
436,"('advising', 'financial-modeling', 'startup')","Finance & Accounting
"
437,"('advising', 'financial-modeling', 'startup')","Company’s Trade Registration 
"
438,"('advising', 'financial-modeling', 'startup')","Marketing
"
439,"('advising', 'financial-modeling', 'startup')","Branding
"
440,"('advising', 'financial-modeling', 'startup')",Law
441,"('advising', 'financial-modeling', 'valuation')","Self Improvement
"
442,"('advising', 'financial-modeling', 'valuation')","Create Business & Startup
"
443,"('advising', 'financial-modeling', 'valuation')","Finance & Accounting
"
444,"('advising', 'financial-modeling', 'valuation')","Company’s Trade Registration 
"
445,"('advising', 'financial-modeling', 'valuation')","Marketing
"
446,"('advising', 'financial-modeling', 'valuation')","Branding
"
447,"('advising', 'financial-modeling', 'valuation')",Law
448,"('advising', 'financial-modeling', 'investment-banking')","Self Improvement
"
449,"('advising', 'financial-modeling', 'investment-banking')","Create Business & Startup
"
